Datetime,Open,High,Low,Close
2026-07-27 13:30:00+00:00,334.8999938964844,337.0400085449219,334.1000061035156,335.5450134277344
2026-07-27 13:35:00+00:00,335.5400085449219,336.510009765625,334.2799987792969,335.7349853515625
2026-07-27 13:40:00+00:00,335.760009765625,336.05950927734375,334.9200134277344,335.05999755859375
2026-07-27 13:45:00+00:00,335.0199890136719,336.7799987792969,334.8999938964844,335.35009765625
2026-07-27 13:50:00+00:00,335.3999938964844,335.44000244140625,334.55999755859375,334.7850036621094
2026-07-27 13:55:00+00:00,334.7799987792969,335.6600036621094,334.0199890136719,335.5849914550781
2026-07-27 14:00:00+00:00,335.6199951171875,336.8999938964844,335.260009765625,335.7300109863281
2026-07-27 14:05:00+00:00,335.7651062011719,336.789794921875,335.6499938964844,336.3500061035156
2026-07-27 14:10:00+00:00,336.3515930175781,336.7799987792969,335.8999938964844,336.6000061035156
2026-07-27 14:15:00+00:00,337.0098876953125,337.8699951171875,336.57000732421875,337.6300048828125
2026-07-27 14:20:00+00:00,337.6300048828125,338.1400146484375,337.1217041015625,337.7300109863281
2026-07-27 14:25:00+00:00,337.739990234375,337.92999267578125,337.04998779296875,337.69000244140625
2026-07-27 14:30:00+00:00,337.70001220703125,337.8500061035156,336.79998779296875,337.3500061035156
2026-07-27 14:35:00+00:00,337.2900085449219,337.7200012207031,336.9599914550781,337.6700134277344
2026-07-27 14:40:00+00:00,337.7300109863281,337.90899658203125,336.2300109863281,336.32501220703125
2026-07-27 14:45:00+00:00,336.32501220703125,337.5799865722656,336.1199951171875,337.3699951171875
2026-07-27 14:50:00+00:00,337.3900146484375,337.510009765625,336.61749267578125,336.9700012207031
2026-07-27 14:55:00+00:00,336.9700012207031,338.33990478515625,336.94000244140625,338.20001220703125
2026-07-27 15:00:00+00:00,338.25,339.5,338.17999267578125,339.1000061035156
2026-07-27 15:05:00+00:00,339.1099853515625,339.4200134277344,338.57000732421875,338.5899963378906
2026-07-27 15:10:00+00:00,338.6300048828125,339.20001220703125,338.55999755859375,339.04998779296875
2026-07-27 15:15:00+00:00,339.08599853515625,339.2099914550781,338.6099853515625,338.8399963378906
2026-07-27 15:20:00+00:00,338.864990234375,338.9695129394531,338.260498046875,338.5801086425781
2026-07-27 15:25:00+00:00,338.5950927734375,338.8999938964844,338.44000244140625,338.739990234375
2026-07-27 15:30:00+00:00,338.7300109863281,339.57000732421875,338.5723876953125,339.3699951171875
2026-07-27 15:35:00+00:00,339.3500061035156,339.3500061035156,337.3800048828125,337.4700012207031
2026-07-27 15:40:00+00:00,337.5,338.3320007324219,337.0899963378906,338.260009765625
2026-07-27 15:45:00+00:00,338.2898864746094,338.55999755859375,337.8500061035156,338.2300109863281
2026-07-27 15:50:00+00:00,338.30999755859375,338.42498779296875,337.6700134277344,337.9399108886719
2026-07-27 15:55:00+00:00,337.92999267578125,337.9549865722656,336.75,337.06500244140625
2026-07-27 16:00:00+00:00,337.0400085449219,337.4599914550781,336.95001220703125,337.2301025390625
2026-07-27 16:05:00+00:00,337.2650146484375,337.2799987792969,337.0299987792969,337.20001220703125
2026-07-27 16:10:00+00:00,337.1900939941406,337.5299987792969,337.10009765625,337.30999755859375
2026-07-27 16:15:00+00:00,337.2049865722656,337.8800048828125,337.19500732421875,337.4800109863281
2026-07-27 16:20:00+00:00,337.4849853515625,337.69000244140625,337.29998779296875,337.489990234375
2026-07-27 16:25:00+00:00,337.510009765625,338.0,337.32000732421875,337.4501037597656
2026-07-27 16:30:00+00:00,337.45001220703125,337.75,337.4150085449219,337.7200012207031
2026-07-27 16:35:00+00:00,337.7200012207031,338.1300048828125,337.385009765625,337.43499755859375
2026-07-27 16:40:00+00:00,337.4800109863281,337.5299987792969,336.57000732421875,336.7349853515625
2026-07-27 16:45:00+00:00,336.739990234375,336.79998779296875,336.3999938964844,336.45001220703125
2026-07-27 16:50:00+00:00,336.4552917480469,336.6000061035156,336.1300048828125,336.37298583984375
2026-07-27 16:55:00+00:00,336.3800048828125,336.7200012207031,336.0199890136719,336.6600036621094
2026-07-27 17:00:00+00:00,336.67999267578125,336.7850036621094,336.0400085449219,336.07501220703125
2026-07-27 17:05:00+00:00,336.1099853515625,336.2799987792969,335.91070556640625,336.260009765625
2026-07-27 17:10:00+00:00,336.2850036621094,336.45989990234375,336.1000061035156,336.3392028808594
2026-07-27 17:15:00+00:00,336.3299865722656,336.3851013183594,335.67999267578125,335.9200134277344
2026-07-27 17:20:00+00:00,335.94500732421875,336.44000244140625,335.79998779296875,336.4200134277344
