t,Open,High,Low,Close
2026-08-09 18:50:00+00:00,65176.0,65177.0,65176.0,65176.0
2026-08-09 18:55:00+00:00,65177.0,65177.0,65161.0,65162.0
2026-08-09 19:00:00+00:00,65162.0,65162.0,65161.0,65162.0
2026-08-09 19:05:00+00:00,65162.0,65167.0,65161.0,65167.0
2026-08-09 19:10:00+00:00,65167.0,65167.0,65158.0,65164.0
2026-08-09 19:15:00+00:00,65164.0,65181.0,65163.0,65180.0
2026-08-09 19:20:00+00:00,65180.0,65187.0,65180.0,65186.0
2026-08-09 19:25:00+00:00,65187.0,65187.0,65186.0,65187.0
2026-08-09 19:30:00+00:00,65187.0,65187.0,65174.0,65175.0
2026-08-09 19:35:00+00:00,65174.0,65175.0,65173.0,65173.0
2026-08-09 19:40:00+00:00,65173.0,65174.0,65168.0,65168.0
2026-08-09 19:45:00+00:00,65168.0,65169.0,65141.0,65159.0
2026-08-09 19:50:00+00:00,65160.0,65165.0,65158.0,65158.0
2026-08-09 19:55:00+00:00,65159.0,65159.0,65149.0,65149.0
2026-08-09 20:00:00+00:00,65150.0,65159.0,65128.0,65129.0
2026-08-09 20:05:00+00:00,65129.0,65129.0,65100.0,65101.0
2026-08-09 20:10:00+00:00,65100.0,65101.0,65042.0,65042.0
2026-08-09 20:15:00+00:00,65042.0,65107.0,65042.0,65087.0
2026-08-09 20:20:00+00:00,65088.0,65127.0,65084.0,65084.0
2026-08-09 20:25:00+00:00,65085.0,65102.0,65069.0,65096.0
2026-08-09 20:30:00+00:00,65096.0,65142.0,65095.0,65127.0
2026-08-09 20:35:00+00:00,65127.0,65133.0,65107.0,65109.0
2026-08-09 20:40:00+00:00,65110.0,65110.0,65105.0,65106.0
2026-08-09 20:45:00+00:00,65106.0,65106.0,65100.0,65100.0
2026-08-09 20:50:00+00:00,65101.0,65105.0,65095.0,65104.0
2026-08-09 20:55:00+00:00,65105.0,65106.0,65104.0,65106.0
2026-08-09 21:00:00+00:00,65105.0,65106.0,65100.0,65103.0
2026-08-09 21:05:00+00:00,65103.0,65104.0,65099.0,65099.0
2026-08-09 21:10:00+00:00,65100.0,65101.0,65099.0,65100.0
2026-08-09 21:15:00+00:00,65101.0,65115.0,65100.0,65100.0
2026-08-09 21:20:00+00:00,65100.0,65103.0,65091.0,65102.0
2026-08-09 21:25:00+00:00,65103.0,65124.0,65102.0,65117.0
2026-08-09 21:30:00+00:00,65117.0,65119.0,65116.0,65119.0
2026-08-09 21:35:00+00:00,65119.0,65225.0,65118.0,65225.0
2026-08-09 21:40:00+00:00,65225.0,65225.0,65165.0,65189.0
2026-08-09 21:45:00+00:00,65188.0,65200.0,65175.0,65176.0
2026-08-09 21:50:00+00:00,65176.0,65176.0,65159.0,65160.0
2026-08-09 21:55:00+00:00,65159.0,65179.0,65159.0,65174.0
2026-08-09 22:00:00+00:00,65174.0,65233.0,65173.0,65219.0
2026-08-09 22:05:00+00:00,65219.0,65263.0,65219.0,65253.0
2026-08-09 22:10:00+00:00,65254.0,65475.0,65241.0,65380.0
2026-08-09 22:15:00+00:00,65380.0,65412.0,65264.0,65286.0
2026-08-09 22:20:00+00:00,65285.0,65302.0,65182.0,65184.0
2026-08-09 22:25:00+00:00,65185.0,65214.0,65179.0,65210.0
2026-08-09 22:30:00+00:00,65210.0,65223.0,65013.0,65071.0
2026-08-09 22:35:00+00:00,65071.0,65080.0,64958.0,64958.0
2026-08-09 22:40:00+00:00,64958.0,65009.0,64955.0,65005.0
2026-08-09 22:45:00+00:00,65006.0,65006.0,64971.0,64986.0
2026-08-09 22:50:00+00:00,64986.0,65035.0,64940.0,65035.0
2026-08-09 22:55:00+00:00,65035.0,65075.0,65035.0,65044.0
2026-08-09 23:00:00+00:00,65044.0,65065.0,64994.0,65061.0
2026-08-09 23:05:00+00:00,65061.0,65074.0,64957.0,64972.0
2026-08-09 23:10:00+00:00,64972.0,65025.0,64972.0,64988.0
2026-08-09 23:15:00+00:00,64987.0,65026.0,64961.0,64980.0
2026-08-09 23:20:00+00:00,64981.0,64981.0,64888.0,64949.0
2026-08-09 23:25:00+00:00,64949.0,64949.0,64861.0,64889.0
2026-08-09 23:30:00+00:00,64890.0,64890.0,64816.0,64839.0
2026-08-09 23:35:00+00:00,64840.0,64913.0,64829.0,64832.0
2026-08-09 23:40:00+00:00,64831.0,64896.0,64830.0,64871.0
2026-08-09 23:45:00+00:00,64871.0,64907.0,64871.0,64902.0
2026-08-09 23:50:00+00:00,64896.0,64897.0,64844.0,64844.0
2026-08-09 23:55:00+00:00,64844.0,64874.0,64805.0,64868.0
2026-08-10 00:00:00+00:00,64868.0,64892.0,64808.0,64870.0
2026-08-10 00:05:00+00:00,64869.0,65030.0,64866.0,65012.0
2026-08-10 00:10:00+00:00,65012.0,65304.0,65012.0,65111.0
2026-08-10 00:15:00+00:00,65111.0,65135.0,65059.0,65060.0
2026-08-10 00:20:00+00:00,65059.0,65081.0,64949.0,64950.0
2026-08-10 00:25:00+00:00,64950.0,65023.0,64950.0,64979.0
2026-08-10 00:30:00+00:00,64980.0,65020.0,64964.0,64984.0
2026-08-10 00:35:00+00:00,64984.0,64985.0,64854.0,64855.0
2026-08-10 00:40:00+00:00,64854.0,64906.0,64779.0,64810.0
2026-08-10 00:45:00+00:00,64811.0,64918.0,64811.0,64917.0
2026-08-10 00:50:00+00:00,64918.0,65008.0,64917.0,64964.0
2026-08-10 00:55:00+00:00,64966.0,65001.0,64915.0,64933.0
2026-08-10 01:00:00+00:00,64933.0,65000.0,64926.0,64951.0
2026-08-10 01:05:00+00:00,64950.0,64961.0,64868.0,64951.0
2026-08-10 01:10:00+00:00,64951.0,65001.0,64951.0,64969.0
2026-08-10 01:15:00+00:00,64968.0,65035.0,64968.0,65002.0
2026-08-10 01:20:00+00:00,65005.0,65014.0,64977.0,65013.0
2026-08-10 01:25:00+00:00,65012.0,65044.0,64975.0,64975.0
2026-08-10 01:30:00+00:00,64974.0,64980.0,64923.0,64928.0
2026-08-10 01:35:00+00:00,64927.0,64934.0,64868.0,64928.0
2026-08-10 01:40:00+00:00,64928.0,64961.0,64916.0,64941.0
