dq,when,symbol,side,entry,exit,qty,move_pct,fee,net_pnl,cost_share_pct,breakeven_move_pct,path
closed_trade,2026-08-26T23:30:35Z,ETH,round-trip,2500.0,2500.0,0.1,0.0,0.5,-0.25,0.2,0.2,entry @ 2500.0 → exit @ 2500.0
reentry_churn,2026-08-27T11:46:01Z,ETH,re-entry,2500.0,2501.6,0.2,0.064,0.5003,0.32,0.1,0.2,close @ 2500.0 → re-buy @ 2501.6
