symbol,baseline,return_pct,trades,win_rate,fees
BTC,momentum5_m5,-1.3512685646686173,16,0.1875,1573.1708117029823
BTC,momentum15_m15,-1.4678031070057163,8,0.0,786.0392802581068
BTC,momentum30_m30,-0.6740522978519459,8,0.125,789.5788062432882
BTC,momentum60_m60,-0.30921395302403454,2,0.0,197.69067452369748
BTC,momentum240_m240,0.0,0,,0.0
BTC,sma_cross_20_5,-0.44531891563277526,4,0.0,394.8800528296331
BTC,sma_cross_60_20,0.02955452572144246,2,0.5,198.0297821100293
BTC,random50,-3.859728941203455,34,0.0,3293.0740448293077
BTC,buy_hold,-0.17344098560130305,1,,-0.0
BTC,always_flat,0.0,0,,0.0
ETH,momentum5_m5,-2.2742759910564625,18,0.1111111111111111,1759.885311634115
ETH,momentum15_m15,-2.1043278751971206,12,0.0,1172.990309090075
ETH,momentum30_m30,-0.8168974131897544,8,0.0,789.0311362407763
ETH,momentum60_m60,-0.37540904554701493,4,0.0,395.30364315436077
ETH,momentum240_m240,0.0,0,,0.0
ETH,sma_cross_20_5,-0.24894689019704375,4,0.25,395.5868986049356
ETH,sma_cross_60_20,-0.06685952601613865,2,0.5,197.93327154772942
ETH,random50,-3.831443327720252,34,0.14705882352941177,3290.6674836041134
ETH,buy_hold,-0.7883892296662087,1,,-0.0
ETH,always_flat,0.0,0,,0.0
EURUSD,momentum5_m5,-1.8115451156451745,18,0.0,1765.8832302638816
EURUSD,momentum15_m15,-1.0422414809845404,10,0.0,984.8217087332239
EURUSD,momentum30_m30,-1.019404925704881,10,0.0,984.889946885686
EURUSD,momentum60_m60,-0.5922335960380054,6,0.0,592.2335960380643
EURUSD,momentum240_m240,0.0,0,,0.0
EURUSD,sma_cross_20_5,-0.3837208528263414,4,0.0,395.2474421463214
EURUSD,sma_cross_60_20,-0.19780219780218822,2,0.0,197.80219780219784
EURUSD,random50,-3.3099404455925407,34,0.0,3309.7898854749487
EURUSD,buy_hold,-0.11164436617414619,1,,-0.0
EURUSD,always_flat,0.0,0,,0.0
