t,vol,vol_thr,fwd,level,regime
2026-08-26 22:15:00+00:00,,0.0010761380273740348,,low,sideways:low
2026-08-26 22:20:00+00:00,,0.0010761380273740348,,low,sideways:low
2026-08-26 22:25:00+00:00,,0.0010761380273740348,,low,sideways:low
2026-08-26 22:30:00+00:00,,0.0010761380273740348,,low,sideways:low
2026-08-26 22:35:00+00:00,,0.0010761380273740348,,low,sideways:low
2026-08-26 22:40:00+00:00,,0.0010761380273740348,,low,sideways:low
2026-08-26 22:45:00+00:00,,0.0010761380273740348,,low,sideways:low
2026-08-26 22:50:00+00:00,,0.0010761380273740348,,low,sideways:low
2026-08-26 22:55:00+00:00,,0.0010761380273740348,,low,sideways:low
2026-08-26 23:00:00+00:00,,0.0010761380273740348,,low,sideways:low
2026-08-26 23:05:00+00:00,,0.0010761380273740348,,low,sideways:low
2026-08-26 23:10:00+00:00,,0.0010761380273740348,,low,sideways:low
2026-08-26 23:15:00+00:00,,0.0010761380273740348,,low,sideways:low
2026-08-26 23:20:00+00:00,,0.0010761380273740348,,low,sideways:low
2026-08-26 23:25:00+00:00,,0.0010761380273740348,,low,sideways:low
2026-08-26 23:30:00+00:00,,0.0010761380273740348,,low,sideways:low
2026-08-26 23:35:00+00:00,,0.0010761380273740348,,low,sideways:low
2026-08-26 23:40:00+00:00,,0.0010761380273740348,,low,sideways:low
2026-08-26 23:45:00+00:00,,0.0010761380273740348,,low,sideways:low
2026-08-26 23:50:00+00:00,,0.0010761380273740348,,low,sideways:low
2026-08-26 23:55:00+00:00,0.0009517668431683918,0.0010761380273740348,-0.0005957209490975446,low,sideways:low
2026-08-27 00:00:00+00:00,0.001061396816612507,0.0010761380273740348,0.001865032542914813,low,sideways:low
2026-08-27 00:05:00+00:00,0.0011108728804256225,0.0010761380273740348,0.00011417552584180868,high,sideways:high
2026-08-27 00:10:00+00:00,0.0011589062920605944,0.0010761380273740348,0.0020696835796638613,high,bull:high
2026-08-27 00:15:00+00:00,0.001059446310751733,0.0010761380273740348,0.0033592487498250723,low,bull:low
2026-08-27 00:20:00+00:00,0.001055253568505014,0.0010761380273740348,0.0027705055537199375,low,bull:low
2026-08-27 00:25:00+00:00,0.0010264562365746312,0.0010761380273740348,0.003053240887984199,low,bull:low
2026-08-27 00:30:00+00:00,0.0010437576893524935,0.0010761380273740348,0.003028529254574641,low,bull:low
2026-08-27 00:35:00+00:00,0.0010109180418064788,0.0010761380273740348,0.002312873300292395,low,bull:low
2026-08-27 00:40:00+00:00,0.00101053826212571,0.0010761380273740348,0.00048260709432423887,low,sideways:low
2026-08-27 00:45:00+00:00,0.0010262737475659226,0.0010761380273740348,0.00048306108180251606,low,sideways:low
2026-08-27 00:50:00+00:00,0.001046258681929547,0.0010761380273740348,-0.00024142312579411573,low,sideways:low
2026-08-27 00:55:00+00:00,0.0010481581554627527,0.0010761380273740348,0.0003684879288436971,low,sideways:low
2026-08-27 01:00:00+00:00,0.0010528690743079271,0.0010761380273740348,-0.00029212284400637056,low,sideways:low
2026-08-27 01:05:00+00:00,0.0009934013092800446,0.0010761380273740348,-0.00252374732089633,low,bear:low
2026-08-27 01:10:00+00:00,0.000995981125964138,0.0010761380273740348,-0.002979020092539808,low,bear:low
2026-08-27 01:15:00+00:00,0.0009715290770101805,0.0010761380273740348,-0.0022419820641434995,low,bear:low
2026-08-27 01:20:00+00:00,0.0009926327491271126,0.0010761380273740348,-0.001593927893738134,low,sideways:low
2026-08-27 01:25:00+00:00,0.0010997436587385394,0.0010761380273740348,-0.0025172666784729625,high,bear:high
2026-08-27 01:30:00+00:00,0.0011113941368415265,0.0010761380273740348,-0.0031744024282281957,high,bear:high
2026-08-27 01:35:00+00:00,0.0011096253342526956,0.0010761380273740348,-0.003998683977425199,high,bear:high
2026-08-27 01:40:00+00:00,0.0010381410262924034,0.0010761380273740348,0.001230199495237727,low,sideways:low
2026-08-27 01:45:00+00:00,0.0012012330970386513,0.0010761380273740348,-0.000658511258009753,high,sideways:high
2026-08-27 01:50:00+00:00,0.0011420188051816083,0.0010761380273740348,0.0005834971776494946,high,sideways:high
