ts,symbol,market,direction,entry_price,price_at_ts,favourable
2026-08-27 02:55:20.527856+00:00,BTC,crypto,LONG,78661.0,78710.0,1
2026-08-27 05:21:10.005122+00:00,BTC,crypto,LONG,78661.0,78838.0,1
2026-08-27 05:26:14.075968+00:00,BTC,crypto,LONG,78661.0,78838.0,1
2026-08-27 05:28:50.458258+00:00,BTC,crypto,LONG,78661.0,78838.0,1
2026-08-27 05:33:56.609357+00:00,BTC,crypto,LONG,78661.0,78838.0,1
2026-08-27 05:35:14.486465+00:00,BTC,crypto,LONG,78661.0,78838.0,1
2026-08-27 11:32:41.676138+00:00,BTC,crypto,LONG,78661.0,78838.0,1
2026-08-27 11:38:00.412584+00:00,BTC,crypto,LONG,78661.0,78838.0,1
2026-08-27 11:40:32.908543+00:00,BTC,crypto,LONG,78661.0,78838.0,1
2026-08-27 11:43:14.864606+00:00,BTC,crypto,LONG,78661.0,78838.0,1
2026-08-27 11:46:01.709354+00:00,ETH,crypto,LONG,2501.6,2493.3,-1
2026-08-27 11:51:46.464036+00:00,BTC,crypto,LONG,78661.0,78838.0,1
