symbol,baseline,train_return_pct,test_return_pct
BTC,momentum5_m5,-0.5697314029533329,-0.7860153379275037
BTC,momentum15_m15,-0.4118060462109385,-1.0603637026340706
BTC,momentum30_m30,-0.2756278671970369,-0.3995256346405518
BTC,momentum60_m60,0.0,-0.30921395302403454
BTC,momentum240_m240,0.0,0.0
BTC,sma_cross_20_5,-0.41590306070666827,-0.22728080787532967
BTC,sma_cross_60_20,0.0,0.02955452572144246
BTC,random50,-2.4663683944310955,-1.6235618043542455
ETH,momentum5_m5,-1.5672554801349325,-0.7182777584535116
ETH,momentum15_m15,-0.6588870026706606,-1.455027861994418
ETH,momentum30_m30,0.0,-0.8168974131897544
ETH,momentum60_m60,0.0,-0.37540904554701493
ETH,momentum240_m240,0.0,0.0
ETH,sma_cross_20_5,-0.3957708557371986,-0.05465325464150128
ETH,sma_cross_60_20,0.0,-0.06685952601613865
ETH,random50,-2.64429415252444,-1.418694122137254
EURUSD,momentum5_m5,-0.7888757057670559,-1.0308011497230152
EURUSD,momentum15_m15,-0.8232310971057699,-0.41819370575710835
EURUSD,momentum30_m30,-0.395224546591999,-0.8232197113074768
EURUSD,momentum60_m60,0.0,-0.5922335960380054
EURUSD,momentum240_m240,0.0,0.0
EURUSD,sma_cross_20_5,-0.18628713507153893,-0.19780219780218822
EURUSD,sma_cross_60_20,0.0,-0.19780219780218822
EURUSD,random50,-1.560140370758567,-1.971818270565917
